,Store Name,Age,Comments Count,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
188,מחוץ לקופסא ,6.0,26.0,23.0,3.0,0.0,0.0,0.0,3.0
189,Watch4U שעונים ,14.0,25.0,24.0,1.0,0.0,2.0,2.0,2.0
190,עולם הקריוקי ,6.0,24.0,20.0,4.0,0.0,0.0,1.0,2.0
191,TheBigMall ,11.0,23.0,23.0,0.0,1.0,10.0,10.0,10.0
192,שאלטר ,7.0,23.0,19.0,4.0,0.0,0.0,1.0,3.0
193,Green Mobile ,9.0,22.0,9.0,13.0,2.0,2.0,2.0,3.0
194,איי קייק ,8.0,22.0,9.0,13.0,0.0,0.0,0.0,4.0
195,קופי פלאנט ,5.0,22.0,21.0,1.0,0.0,0.0,0.0,1.0
196,חי פארם ,3.0,22.0,22.0,0.0,0.0,2.0,2.0,2.0
197,ריקוטק ,16.0,21.0,20.0,1.0,0.0,0.0,0.0,1.0
198,mio4u ,15.0,21.0,18.0,2.0,0.0,1.0,1.0,1.0
199,החדר של רום ,7.0,21.0,20.0,1.0,1.0,1.0,2.0,3.0
200,טולמן ,5.0,21.0,20.0,1.0,0.0,2.0,4.0,10.0
201,אורבן רייד ,2.0,21.0,21.0,0.0,0.0,1.0,2.0,9.0
202,אל פי סי מחשבים ,1.0,21.0,21.0,0.0,1.0,3.0,4.0,21.0
203,נטקום מחשבים י ם ,1.0,20.0,18.0,2.0,1.0,2.0,2.0,5.0
204,סולאר לייט ,2.0,20.0,20.0,0.0,0.0,0.0,0.0,8.0
205,בית הפסנתר ,5.0,19.0,19.0,0.0,0.0,0.0,0.0,1.0
206,לבפיקס מחשבים ,5.0,19.0,18.0,1.0,1.0,1.0,1.0,2.0
207,FFP ציוד ומיגון ,3.0,19.0,18.0,1.0,0.0,0.0,0.0,7.0
208,דוריקו ,15.0,18.0,16.0,1.0,0.0,0.0,1.0,2.0
209,NMM מרקוביץ רקמה ,14.0,18.0,17.0,0.0,0.0,0.0,0.0,1.0
210,SellZone ,3.0,18.0,18.0,0.0,0.0,0.0,1.0,1.0
211,אוליווד ,3.0,17.0,17.0,0.0,1.0,3.0,4.0,5.0
212,סיני סטור ,6.0,17.0,17.0,0.0,1.0,6.0,17.0,17.0
213,גולדן רוז ,5.0,16.0,15.0,1.0,0.0,0.0,1.0,1.0
214,אס ג י נובלטי ,3.0,15.0,15.0,0.0,0.0,1.0,2.0,5.0
215,סמארט בייבי ,10.0,14.0,13.0,1.0,0.0,0.0,0.0,1.0
216,מחיר ישיר ,9.0,14.0,10.0,3.0,0.0,0.0,0.0,1.0
217,אביר ספורט ,6.0,14.0,3.0,11.0,0.0,0.0,0.0,3.0
218,פאן פה ,3.0,14.0,14.0,0.0,0.0,1.0,4.0,7.0
219,דופן ,11.0,13.0,11.0,1.0,1.0,1.0,1.0,1.0
220,ויטמין לס פור יו ,2.0,13.0,13.0,0.0,0.0,0.0,1.0,2.0
221,רוקפוניק ,2.0,13.0,13.0,0.0,0.0,2.0,3.0,7.0
222,תמיר אלקטרוניק ,16.0,11.0,9.0,2.0,0.0,0.0,0.0,3.0
223,iBands ישראל ,2.0,11.0,11.0,0.0,2.0,6.0,8.0,11.0
224,זיגזג 2000 ,13.0,10.0,9.0,1.0,0.0,0.0,0.0,1.0
225,וינאה גרין ,7.0,10.0,10.0,0.0,0.0,0.0,2.0,3.0
226,אקלים ,6.0,10.0,4.0,6.0,0.0,0.0,0.0,2.0
227,פרינטק ,4.0,10.0,10.0,0.0,2.0,4.0,4.0,4.0
228,פג חום ,3.0,9.0,9.0,0.0,1.0,3.0,3.0,4.0
229,אתלטיס ,1.0,8.0,7.0,1.0,0.0,0.0,0.0,6.0
230,קופיטק ,17.0,7.0,7.0,0.0,0.0,1.0,3.0,4.0
231,גולדי ס ,3.0,7.0,7.0,0.0,0.0,1.0,1.0,6.0
232,BigMobile ,3.0,7.0,4.0,3.0,0.0,2.0,2.0,3.0
233,AdelPc ,2.0,7.0,6.0,1.0,0.0,0.0,0.0,1.0
234,קארשר סטור ,8.0,6.0,6.0,0.0,1.0,1.0,2.0,4.0
235,לה שנטל ,6.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0
236,CELL STORE ,1.0,6.0,6.0,0.0,1.0,2.0,2.0,6.0
237,קונקס קרמיקה ,13.0,5.0,5.0,0.0,0.0,0.0,1.0,4.0
238,סטוק פי סי ,4.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0
239,אלגנט קאר ,4.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0
240,ג אנגו ,2.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0
241,סייבר טק ,2.0,5.0,5.0,0.0,0.0,0.0,2.0,5.0
242,LA cosmetic ,1.0,5.0,5.0,0.0,0.0,4.0,5.0,5.0
243,פרפיום אונליין ,3.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0
244,טכנו אבי ,3.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0
245,שופ כלי ,8.0,4.0,4.0,0.0,0.0,1.0,1.0,3.0
246,ארוספורט ,5.0,4.0,4.0,0.0,0.0,2.0,2.0,3.0
247,אבאגן ,2.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0
248,Pumba פומבה ,2.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0
249,X Body ,7.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
250,BRASS way of life ,12.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
251,תיקי ירושלים ,12.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
252,אתינט ,6.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
253,דקר מתקנים לחצר ,5.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
