,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
212,סיני סטור ,6,17,5.0,17,0,1,6,17,17
213,גולדן רוז ,5,16,5.0,15,1,0,0,1,1
214,אס ג י נובלטי ,3,15,5.0,15,0,0,1,2,5
215,סמארט בייבי ,10,14,5.0,13,1,0,0,0,1
216,מחיר ישיר ,9,14,5.0,10,3,0,0,0,1
217,אביר ספורט ,6,14,5.0,3,11,0,0,0,3
218,פאן פה ,3,14,5.0,14,0,0,1,4,7
219,דופן ,11,13,5.0,11,1,1,1,1,1
220,ויטמין לס פור יו ,2,13,5.0,13,0,0,0,1,2
221,רוקפוניק ,2,13,5.0,13,0,0,2,3,7
222,תמיר אלקטרוניק ,16,11,5.0,9,2,0,0,0,3
223,iBands ישראל ,2,11,5.0,11,0,2,6,8,11
224,זיגזג 2000 ,13,10,5.0,9,1,0,0,0,1
225,וינאה גרין ,7,10,5.0,10,0,0,0,2,3
226,אקלים ,6,10,5.0,4,6,0,0,0,2
227,פרינטק ,4,10,5.0,10,0,2,4,4,4
228,פג חום ,3,9,5.0,9,0,1,3,3,4
229,Tribit Israel ,,9,5.0,9,0,0,0,0,1
230,אתלטיס ,1,8,5.0,7,1,0,0,0,6
231,קופיטק ,17,7,5.0,7,0,0,1,3,4
232,גולדי ס ,3,7,5.0,7,0,0,1,1,6
233,BigMobile ,3,7,5.0,4,3,0,2,2,3
234,AdelPc ,2,7,5.0,6,1,0,0,0,1
235,קארשר סטור ,8,6,5.0,6,0,1,1,2,4
236,לה שנטל ,6,6,5.0,5,1,1,1,1,1
237,CELL STORE ,1,6,5.0,6,0,1,2,2,6
238,קונקס קרמיקה ,13,5,5.0,5,0,0,0,1,4
239,סטוק פי סי ,4,5,5.0,4,1,0,0,1,1
240,אלגנט קאר ,4,5,5.0,4,1,0,0,0,1
241,ג אנגו ,2,5,5.0,5,0,0,0,0,5
242,סייבר טק ,2,5,5.0,5,0,0,0,2,5
243,LA cosmetic ,1,5,5.0,5,0,0,4,5,5
244,פרפיום אונליין ,3,4,5.0,4,0,0,4,4,4
245,טכנו אבי ,3,4,5.0,4,0,0,3,3,3
246,שופ כלי ,8,4,5.0,4,0,0,1,1,3
247,ארוספורט ,5,4,5.0,4,0,0,2,2,3
248,אבאגן ,2,4,5.0,4,0,0,0,0,3
249,Pumba פומבה ,2,4,5.0,4,0,0,0,0,2
250,X Body ,7,3,5.0,3,0,0,0,0,1
251,BRASS way of life ,12,2,5.0,2,0,0,0,1,1
252,תיקי ירושלים ,12,2,5.0,2,0,0,1,1,1
253,אתינט ,6,2,5.0,2,0,0,0,1,1
254,דקר מתקנים לחצר ,5,2,5.0,2,0,0,1,1,1
255,ספינפון ,2,2,5.0,2,0,0,0,0,1
256,זול בסלולאר ,2,2,5.0,2,0,0,0,0,2
257,imount ישראל ,1,2,5.0,2,0,0,0,1,2
258,קול המוסיקה כלי נגינה והגברה ,1,1,5.0,1,0,0,0,0,1
259,פולס אנד מור ,15,1,5.0,1,0,0,0,0,1
260,The Watch Facroty ,2,1,5.0,1,0,0,1,1,1
261,קיסר ריהוט משרד ארגונומי ,2,1,5.0,1,0,0,0,1,1
262,אייל לבית ולגן ,1,1,5.0,1,0,0,0,0,1
263,Buyzon ,1,1,5.0,1,0,0,1,1,1
264,מחסני ספיר ,1,1,5.0,1,0,0,0,0,1
265,איש קפה ,1,1,5.0,1,0,0,0,0,1
266,לן פיסי ,1,1,5.0,1,0,0,0,0,1
267,שופיפס Shopips ,1,160,4.99,160,0,25,70,112,160
268,מרבו ספורט ,6,131,4.99,128,3,1,7,24,78
269,דובי אתר קניות ,3,532,4.98,525,5,29,212,305,362
270,סמוקר ,11,434,4.98,418,14,1,12,23,45
271,אלקטריקה ,4,216,4.98,213,3,5,17,28,43
272,EveryWear ,3,131,4.98,131,0,13,23,38,65
273,קניון בשביל כולם ,5,113,4.98,106,7,4,9,20,54
274,Z sport pool ,14,535,4.97,516,17,4,10,20,33
275,סטודיו לנד ,12,523,4.97,482,36,3,9,21,36
276,בסט דיגיטל ,1,38,4.97,38,0,0,4,6,31
277,אחים רוזנברג ARM ,5,446,4.96,443,2,0,3,34,96
278,ספיד אוף סאונד ,9,424,4.96,420,2,1,12,23,53
279,מיי גאדג ט ,4,77,4.96,74,3,3,9,13,23
280,א ר לייזר ליין ,18,983,4.95,919,62,5,17,46,94
